id_number,Title flag,movie_name,year, budget , domestic , international ,rating,storytype,source,production_method,genre,sequel,Release Date,Director,Director FB Like,Actor 1 Name,Actor 1 FB Like,Actor 2 Name,Actor 2 FB Like,Actor 3 Name,Actor 3 FB Like,Total Cast FB Like,Movie FB Like,IMDB Score,directors_avg_bo,actor_1_avg_bo,actor_2_avg_bo,actor_3_avg_bo
111880100,0,Morning Glory,2010,40000000,31011732,28783338.00,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,2010-01-12,Roger Michell,50,Noah Bean,293,Patti D'Arbanville,117,Vanessa Aspillaga,58,621,0,6.5,59795070,59795070,59795070,59795070
150570100,0,Mr. Poppers's Penguins,2010,55000000,68224452,121400000.00,PG,Kids Fiction,Fiction Book/Short Story,Live Action,Adventure,0, , , , , , , , , , , , , ,,,
139540100,0,My Soul to Take,2010,25000000,14744435,1983035.00,R,Contemporary Fiction,Original Screenplay,Live Action,Horror,0,2010-10-08,Wes Craven,0,Frank Grillo,798,Emily Meade,374,Zena Grey,255,2537,0,4.8,76815560.33,55980873,39204131,16727470
104430100,0,Nanny McPhee and the Big Bang,2010,35000000,29197642,68602223.00,PG,Kids Fiction,Fiction Book/Short Story,Live Action,Adventure,1,2010-03-26, , , , , , , , , , , , ,,,
138870100,0,Never Let Me Go,2010,15000000,2434652,8739066.00,R,Science Fiction,Fiction Book/Short Story,Live Action,Drama,0,2010-09-15,Mark Romanek,132,Andrew Garfield,10000,Charlie Rowe,882,Charlotte Rampling,844,12867,33000,7.2,11173718,305091025.2,11173718,40491871.75
146720100,0,No Strings Attached,2010,25000000,70662220,78565858.00,R,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,2011-01-21,Ivan Reitman,425,Natalie Portman,20000,Greta Gerwig,962,Mindy Kaling,766,22739,24000,6.2,79949471.33,172464171.1,149228078,357707582.3
143130100,0,On the Road,2010,25000000,720828,8592474.00,R,Historical Fiction,Fiction Book/Short Story,Live Action,Drama,0, ,Walter Salles,179,Kristen Stewart,17000,Viggo Mortensen,10000,Kirsten Dunst,4000,33747,27000,6.1,9313302,227542418.3,22891289.5,194717974
110890100,0,Our Family Wedding,2010,14000000,20255281,1155265.00,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,2010-03-12,Rick Famuyiwa,44,America Ferrera,953,Lance Gross,849,Lupe Ontiveros,625,3299,1000,4.9,21410546,246544908.8,21410546,21410546
139030100,0,Paul,2010,40000000,37412945,63749161.00,R,Science Fiction,Original Screenplay,Live Action,Comedy,0,2011-02-14,Greg Mottola,99,Bobby Lee,176,Nelson Ascencio,61,Jeremy Owen,57,390,42000,7,135558624,101162106,101162106,101162106
107550100,0,Percy Jackson & the Olympians: The Lightning Thief,2010,95000000,88768303,134282571.00,PG,Fantasy,Fiction Book/Short Story,Live Action,Adventure,0,2010-02-01,Chris Columbus,0,Logan Lerman,8000,Rosario Dawson,3000,Steve Coogan,1000,14024,9000,5.9,161186570.7,135893409.6,125319738.3,495964049.7
119680100,0,Piranha 3D,2010,24000000,25003155,58657005.00,R,Science Fiction,Remake,Live Action,Horror,0,2010-08-20,Alexandre Aja,192,Adam Scott,3000,Kelly Brook,859,Jessica Szohr,847,5737,13000,5.5,77078856.33,86605515,83660160,67269129
128960100,0,Predators,2010,40000000,52000688,75233701.00,R,Science Fiction,Original Screenplay,Live Action,Action,1,2010-07-03,Nimród Antal,190,Topher Grace,2000,Alice Braga,1000,Derek Mears,520,4243,17000,6.4,53326111,61078988,254288600.5,171092052.5
111630100,0,Priest,2010,60000000,29136626,55017400.00,PG-13,Fantasy,Graphic Novel/Game,Live Action,Horror,0,2011-05-05,Scott Stewart,124,Josh Wingate,865,Alan Dale,441,Jacob Hopkins,77,1417,20000,5.7,75900800,84154026,61640226.5,84154026
121880100,0,Prince of Persia: Sands of Time,2010,200000000,90759676,223834921.00,PG-13,Fantasy,Graphic Novel/Game,Live Action,Action,0, , , , , , , , , , , , , ,,,
105410100,0,Ramona and Beezus,2010,15000000,26167002,1302619.00,G,Kids Fiction,Fiction Book/Short Story,Live Action,Adventure,0,2010-07-23,Elizabeth Allen Rosenbaum,20,Sierra McCormick,512,Hutch Dano,316,Jason Spevack,125,1002,0,6.7,27469621,27469621,27469621,27469621
143960100,0,Real Steel,2010,110000000,85463309,178417032.00,PG-13,Science Fiction,Fiction Book/Short Story,Live Action,Action,0,2011-09-28,Shawn Levy,189,Hugh Jackman,20000,Torey Michael Adkins,929,Olga Fonda,544,22254,36000,7.1,256033627.9,246643677.4,263880341,263880341
